"id";"area_construida_m2";"Bairro";"Cep";"cidade_uf";"Endereço";"fim_termo_convenio";"situacao_termo_convenio";"termo_convenio";"Situação";"uf"
"1003775";NA;"ESTÂNCIA BIQUINI                                                                                    ";"45995-000";"Teixeira de Freitas                        - BA";"RUA NOVA PÁTRIA,   ";"15/04/2017";"Vigente";"5759/2013";"
                            
                            Licitação";"BA"
"20180";NA;"ULISSES GUIMARAES                                                                                   ";"45995-000";"Teixeira de Freitas                        - BA";"TRAVESSA DO VATICANO,   ";"27/10/2016";"Vigente";"11031/2014";"
                            
                            Licitação";"BA"
"1014585";NA;"LAGOA DO CARNEIRO                                                                                   ";"62580-000";"Acaraú                        - CE";"RUA S.D.O,  00 ";"17/05/2016";"Vencido";"9892/2014";"
                            
                            Licitação";"CE"
"1004644";NA;"Centro                                                                                              ";"62184-000";"Cariré                        - CE";"RUA RUI BARBOSA, PRÓXIMO AO PROARES, 155 ";"01/11/2016";"Vigente";"6234/2013";"
                            
                            Licitação";"CE"
"25806";NA;"Samambaia Sul (Samambaia)";"72314-701";"Brasília                        - DF";"QR Samambaia - QR 208 Conjunto 19 Lote 01 ,   ";"11/10/2016";"Vigente";"5886/2013";"
                            
                            Licitação";"DF"
"1012664";NA;"ENSEADA DAS GARÇAS                                                                                  ";"29187-000";"Fundão                        - ES";"RUA TICO TICO, DISTRITO DE PRAIA GRANDE, 00 ";"02/05/2017";"Vigente";"8770/2014";"
                            
                            Licitação";"ES"
"1006757";NA;"Setor Maysa III                                                                                     ";"75380-000";"Trindade                        - GO";"Rua Bandeirante, Rua Conceição do Norte e Rua Ponte Nova, Ensino 04, 00 ";"17/12/2016";"Vigente";"7415/2013";"
                            
                            Licitação";"GO"
"1004263";NA;"Setor Jardins Imperial                                                                              ";"76400-000";"Uruaçu                        - GO";"Rua 09,  01 ";"31/01/2018";"Vigente";"25548/2014";"
                            
                            Licitação";"GO"
"1001848";NA;"Alto Bela Vista                                                                                     ";"65470-000";"São Mateus do Maranhão                        - MA";"Rua Benedito Moraes,   ";"13/03/2018";"Vigente";"6035/2013";"
                            
                            Licitação";"MA"
"1012700";NA;"NOVO JARDIM                                                                                         ";"65380-000";"Bom Jardim                        - MA";"RUA 06, RUA 06,  ";"01/03/2018";"Vigente";"8817/2014";"
                            
                            Licitação";"MA"
"1009240";NA;"Lagoa de Santo Antônio                                                                              ";"33600-000";"Pedro Leopoldo                        - MG";"Rua Espírito Santo,  790 ";"16/05/2017";"Vigente";"11685/2014";"
                            
                            Licitação";"MG"
"1004075";NA;"CENTRO                                                                                              ";"39711-000";"Coroaci                        - MG";"RUA SÃO JUDAS TADEU,   ";NA;"Vigente";"38014/2014";"
                            
                            Licitação";"MG"
"1016904";NA;"Jardim Alvorada                                                                                     ";"79610-000";"Três Lagoas                        - MS";"Avenida Jary Mercante, Quadra n. 04/02, quadra n. 04/02, 04 ";"30/05/2017";"Vigente";"10647/2014";"
                            
                            Licitação";"MS"
"1017342";NA;"SÃO JOAO                                                                                            ";"79610-00";"Três Lagoas                        - MS";"RUA DOS LÍRIOS (R. Otávio Sigefredo Roriz), LOTE 18, LOTEAMENTO JARDIM DAS FLORES, 18 ";"14/06/2017";"Vigente";"10869/2014";"
                            
                            Licitação";"MS"
"19884";NA;"Centro                                                                                              ";"78773-000";"São José do Povo                        - MT";"Rua Candido Borges Leal Junior, Quadra 29, 00 ";"29/04/2017";"Vigente";"8448/2014";"
                            
                            Licitação";"MT"
"1014076";NA;"Zona Rural                                                                                          ";"78338-000";"Rondolândia                        - MT";"Terra da União, Área Indígena, 002 ";"30/06/2016";"Vigente";"29769/2014";"
                            
                            Licitação";"MT"
"1006760";NA;"Tucunaré                                                                                            ";"68160-000";"Aveiro                        - PA";"Rodovia Transbrasília, Brasília Legal, 150 ";"20/06/2016";"Vigente";"7416/2013";"
                            
                            Licitação";"PA"
"1016077";NA;"Rural                                                                                               ";"68148-000";"Brasil Novo                        - PA";"Vicinal 23, KM 75 Sul, 40 ";"31/07/2017";"Vigente";"34950/2014";"
                            
                            Licitação";"PA"
"1011108";NA;"Conjunto Rafael Fernandes                                                                           ";"58337-000";"Cruz do Espírito Santo                        - PB";"Rua Severino Inácio da Silva,  01 ";"05/12/2016";"Vigente";"11720/2014";"
                            
                            Licitação";"PB"
"1017443";NA;"Centro";"58900-000";"Cajazeiras                        - PB";"Margens da Br 230, Distrito de Divinópolis, 00 ";"30/06/2017";"Vigente";"29821/2014";"
                            
                            Licitação";"PB"
